,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
73,Ciaran Clark\Ciaran-Clark,ie IRL,DFMF,Newcastle Utd,29,1989,9,9,765,2,0,0,0,2,0,0.24,0.00,0.24,0.24,0.24,0.8,0.8,0.0,0.10,0.00,0.10,0.10,0.10,Matches
74,Leon Clarke\Leon-Clarke,eng ENG,FW,Sheffield Utd,34,1985,1,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,2.83,0.00,2.83,2.83,2.83,Matches
75,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,9,8,647,1,0,0,0,0,0,0.14,0.00,0.14,0.14,0.14,1.5,1.5,0.4,0.20,0.06,0.26,0.20,0.26,Matches
76,Conor Coady\Conor-Coady,eng ENG,DFMF,Wolves,26,1993,20,20,1800,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.01,0.01,0.00,0.01,Matches
77,Séamus Coleman\Seamus-Coleman,ie IRL,DFMF,Everton,30,1988,12,10,890,0,1,0,0,5,1,0.00,0.10,0.10,0.00,0.10,0.5,0.5,0.5,0.05,0.05,0.10,0.05,0.10,Matches
78,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,13,8,676,2,0,0,0,0,0,0.27,0.00,0.27,0.27,0.27,2.2,2.2,0.1,0.29,0.01,0.30,0.29,0.30,Matches
79,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,14,8,707,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.02,0.09,0.11,0.02,0.11,Matches
80,Steve Cook\Steve-Cook,eng ENG,DFMF,Bournemouth,28,1991,16,16,1440,1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.3,0.04,0.02,0.06,0.04,0.06,Matches
81,Jack Cork\Jack-Cork,eng ENG,DFMF,Burnley,30,1989,18,18,1558,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.4,0.07,0.02,0.09,0.07,0.09,Matches
82,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,13,13,1125,3,0,0,0,5,0,0.24,0.00,0.24,0.24,0.24,0.8,0.8,0.4,0.06,0.03,0.09,0.06,0.09,Matches
83,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,12,3,292,2,0,0,0,0,0,0.62,0.00,0.62,0.62,0.62,2.3,2.3,0.0,0.71,0.01,0.73,0.71,0.73,Matches
84,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,1,1,60,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
85,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,2,2,127,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.05,0.05,0.00,0.05,Matches
