,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
81,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,29,1990,15,15,1298,1,0,0,0,3,1,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.4,0.05,0.02,0.07,0.05,0.07,Matches
82,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,23,1996,6,3,249,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.2,0.37,0.06,0.44,0.37,0.44,Matches
83,Leon Dajaku\Leon-Dajaku,de GER,FW,Bayern Munich,18,2001,1,0,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,,,,,Matches
84,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,28,1990,15,14,1257,3,3,0,0,5,1,0.21,0.21,0.43,0.21,0.43,2.2,2.2,2.3,0.16,0.17,0.32,0.16,0.32,Matches
85,Alphonso Davies\Alphonso-Davies,ca CAN,FW,Bayern Munich,18,2000,13,9,909,1,2,0,0,0,0,0.10,0.20,0.30,0.10,0.30,0.9,0.9,1.5,0.09,0.14,0.23,0.09,0.23,Matches
86,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,27,1991,6,6,479,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.10,0.00,0.10,0.10,0.10,Matches
87,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Bayer,26,1993,12,9,752,0,2,0,0,0,0,0.00,0.24,0.24,0.00,0.24,1.0,1.0,1.7,0.12,0.20,0.32,0.12,0.32,Matches
88,Diego Demme\Diego-Demme,de GER,DFMF,RB Leipzig,27,1991,17,14,1212,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.0,0.03,0.07,0.10,0.03,0.10,Matches
89,Moussa Diaby\Moussa-Diaby,fr FRA,MF,Bayer,20,1999,11,5,564,1,0,0,0,0,0,0.16,0.00,0.16,0.16,0.16,2.1,2.1,0.9,0.33,0.14,0.46,0.33,0.46,Matches
90,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FW,Hertha BSC,21,1998,13,10,819,3,2,0,0,2,0,0.33,0.22,0.55,0.33,0.55,1.5,1.5,1.1,0.16,0.13,0.29,0.16,0.29,Matches
