,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,
Rk,Player,Nation,Pos,Squad,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Int,PKwon,PKcon,OG,Succ,Att,Succ%,#Pl,Megs,Tkl,Att,Tkl%,Past,Matches
312,Panagiotis Retsos\Panagiotis-Retsos,gr GRE,DF,Bayer,1.3,0,0,0,1,0,0,0,0,2,0,0,0,1,1,100.0,1,0,5,12,41.7,7,Matches
313,Marco Reus\Marco-Reus,de GER,FWMF,Dortmund,14.1,1,0,0,16,14,5,14,18,7,0,0,0,25,48,52.1,28,2,27,40,67.5,13,Matches
314,Marco Richter\Marco-Richter,de GER,FW,Augsburg,10.5,1,0,0,18,19,2,21,6,13,0,0,0,23,52,44.2,28,3,15,46,32.6,31,Matches
315,Marcel Risse\Marcel-Risse,de GER,FWMF,Köln,1.3,1,0,0,3,0,0,16,0,0,0,0,0,1,2,50.0,1,0,1,1,100.0,0,Matches
316,Marlon Ritter\Marlon-Ritter,de GER,FW,Paderborn 07,0.6,2,0,0,2,2,0,5,0,1,0,0,0,1,1,100.0,1,1,1,2,50.0,1,Matches
317,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,8.5,1,0,0,13,9,1,6,14,8,0,0,0,7,10,70.0,7,0,21,40,52.5,19,Matches
318,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DFMF,Wolfsburg,14.6,1,0,0,11,18,2,47,15,15,0,0,0,29,48,60.4,30,6,23,36,63.9,13,Matches
319,Sebastian Rudy\Sebastian-Rudy,de GER,MF,Hoffenheim,16.0,5,0,0,16,23,1,31,33,9,0,0,0,13,16,81.3,14,1,49,71,69.0,22,Matches
320,Lukas Rupp\Lukas-Rupp,de GER,MF,Hoffenheim,3.8,0,0,0,10,6,1,0,3,5,0,0,0,4,12,33.3,5,0,11,13,84.6,2,Matches
321,Julian Ryerson\Julian-Ryerson,no NOR,DF,Union Berlin,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
322,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Eint Frankfurt,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,0.0,1,Matches
323,João Victor Santos Sá\Joao-Victor-Santos-Sa,br BRA,FW,Wolfsburg,12.0,2,0,0,17,21,6,12,16,7,0,0,0,22,33,66.7,26,1,26,49,53.1,23,Matches
324,Abdelhamid Sabiri\Abdelhamid-Sabiri,de GER,MF,Paderborn 07,5.4,2,0,0,11,8,0,1,8,4,0,0,0,15,24,62.5,16,0,9,17,52.9,8,Matches
325,Marcel Sabitzer\Marcel-Sabitzer,at AUT,FWMF,RB Leipzig,14.7,2,0,0,7,18,3,76,16,15,0,0,0,17,29,58.6,18,3,21,44,47.7,23,Matches
