,,,,,,Assists,Assists,Assists,Assists,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Ast,xA,A-xA,KP,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Left,Right,FK,TB,CK,TI,1/3,PPA,CrsPA,Matches
380,Lino Tempelmann\Lino-Tempelmann,de GER,MF,Freiburg,0.4,0,0.0,0.0,0,7,10,70.0,0,0,,5,8,62.5,2,2,100.0,3,7,0,0,0,0,0,0,0,Matches
381,Simon Terodde\Simon-Terodde,de GER,FW,Köln,8.2,0,0.2,-0.2,3,87,141,61.7,3,12,25.0,71,111,64.0,13,18,72.2,22,73,0,1,0,2,5,3,0,Matches
382,Niclas Thiede\Niclas-Thiede,de GER,GK,Freiburg,0.8,0,0.0,0.0,0,32,41,78.0,0,0,,24,24,100.0,8,17,47.1,22,8,2,0,0,0,1,0,0,Matches
383,Jan Thielmann\Jan-Thielmann,de GER,FW,Köln,2.3,1,0.1,+0.9,2,39,57,68.4,0,4,0.0,33,42,78.6,6,11,54.5,4,47,0,0,0,2,1,3,1,Matches
384,Erik Thommy\Erik-Thommy,de GER,MF,Düsseldorf,10.6,4,2.4,+1.6,24,231,352,65.6,7,28,25.0,167,212,78.8,57,112,50.9,65,257,16,1,24,7,18,6,2,Matches
385,Marcus Thuram\Marcus-Thuram,fr FRA,FW,M'gladbach,13.8,5,3.7,+1.3,14,263,381,69.0,17,34,50.0,231,308,75.0,15,39,38.5,58,259,1,1,0,4,9,8,0,Matches
386,Marcel Tisserand\Marcel-Tisserand,cd COD,DF,Wolfsburg,11.4,0,0.2,-0.2,2,451,587,76.8,4,13,30.8,287,332,86.4,160,242,66.1,66,463,23,1,0,5,43,4,1,Matches
387,Corentin Tolisso\Corentin-Tolisso,fr FRA,DFMF,Bayern Munich,5.1,0,0.9,-0.9,8,335,380,88.2,4,13,30.8,249,273,91.2,82,94,87.2,31,331,6,1,0,1,43,5,0,Matches
388,Ömer Toprak\Omer-Toprak,tr TUR,DF,Werder Bremen,3.1,0,0.0,0.0,0,153,170,90.0,0,0,,101,107,94.4,52,63,82.5,36,125,7,0,0,0,3,0,0,Matches
389,Lucas Torró\Lucas-Torro,es ESP,MF,Eint Frankfurt,1.5,0,0.0,0.0,1,61,68,89.7,0,0,,47,49,95.9,14,19,73.7,6,54,3,0,0,0,8,1,0,Matches
390,Jordan Torunarigha\Jordan-Torunarigha,de GER,DF,Hertha BSC,1.0,0,0.0,0.0,1,33,41,80.5,0,1,0.0,23,27,85.2,10,13,76.9,32,6,1,0,0,0,2,0,0,Matches
391,Almamy Touré\Almamy-Toure,ml MLI,DF,Eint Frankfurt,7.2,2,1.0,+1.0,11,228,316,72.2,3,10,30.0,177,219,80.8,48,87,55.2,38,232,1,0,0,16,31,7,2,Matches
392,Ibrahima Traoré\Ibrahima-Traore,gn GUI,MF,M'gladbach,0.1,0,0.0,0.0,0,2,2,100.0,0,0,,2,2,100.0,0,0,,1,1,0,0,0,0,0,0,0,Matches
393,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,6.0,0,0.0,0.0,0,151,216,69.9,1,1,100.0,74,74,100.0,76,141,53.9,29,154,18,0,0,0,8,0,0,Matches
394,Christopher Trimmel\Christopher-Trimmel,at AUT,FWMF,Union Berlin,17.0,4,3.0,+1.0,39,575,824,69.8,2,28,7.1,408,470,86.8,165,326,50.6,75,521,58,0,58,179,30,9,6,Matches
395,Anthony Ujah\Anthony-Ujah,ng NGA,FW,Union Berlin,5.7,0,0.3,-0.3,5,96,154,62.3,3,13,23.1,79,118,66.9,14,23,60.9,21,84,0,1,0,0,10,3,0,Matches
396,Sven Ulreich\Sven-Ulreich,de GER,GK,Bayern Munich,0.0,0,0.0,0.0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
397,Dayot Upamecano\Dayot-Upamecano,fr FRA,DF,RB Leipzig,12.6,0,0.8,-0.8,6,844,935,90.3,5,13,38.5,529,561,94.3,310,361,85.9,126,758,22,1,0,2,85,5,0,Matches
398,Mark Uth\Mark-Uth,de GER,FW,Schalke 04,3.9,0,0.3,-0.3,2,82,114,71.9,1,4,25.0,67,89,75.3,14,21,66.7,93,10,1,0,0,0,1,1,0,Matches
399,Ruben Vargas\Ruben-Vargas,ch SUI,FW,Augsburg,14.2,0,1.9,-1.9,9,167,273,61.2,6,26,23.1,138,195,70.8,23,52,44.2,44,199,0,0,0,8,15,3,1,Matches
400,Sebastian Vasiliadis\Sebastian-Vasiliadis,gr GRE,MF,Paderborn 07,15.4,1,1.5,-0.5,16,444,561,79.1,5,22,22.7,341,400,85.3,98,139,70.5,121,392,10,1,1,4,38,9,1,Matches
401,Miloš Veljković\Milos-Veljkovic,rs SRB,DF,Werder Bremen,9.9,0,0.0,0.0,1,366,454,80.6,4,8,50.0,218,243,89.7,144,203,70.9,83,345,28,0,0,2,41,0,0,Matches
402,Birger Verstraete\Birger-Verstraete,be BEL,DF,Köln,7.4,1,0.8,+0.2,9,196,270,72.6,3,8,37.5,129,157,82.2,64,105,61.0,37,210,27,0,23,1,23,3,1,Matches
403,Kevin Vogt\Kevin-Vogt,de GER,DFMF,Hoffenheim,10.7,0,0.1,-0.1,1,776,830,93.5,3,6,50.0,470,491,95.7,303,333,91.0,36,754,16,0,0,0,30,1,0,Matches
404,Kevin Volland\Kevin-Volland,de GER,FW,Bayer,15.2,6,4.2,+1.8,25,288,405,71.1,12,34,35.3,235,305,77.0,41,66,62.1,251,117,0,6,0,6,24,15,3,Matches
405,Luca Waldschmidt\Luca-Waldschmidt,de GER,FW,Freiburg,6.0,1,0.3,+0.7,5,118,149,79.2,3,11,27.3,95,110,86.4,20,28,71.4,106,33,0,1,0,0,5,5,1,Matches
406,Wout Weghorst\Wout-Weghorst,nl NED,FW,Wolfsburg,16.1,2,1.6,+0.4,24,285,435,65.5,13,37,35.1,243,344,70.6,29,54,53.7,31,284,0,2,0,8,29,11,0,Matches
407,Julian Weigl\Julian-Weigl,de GER,MF,Dortmund,11.3,0,0.3,-0.3,4,753,824,91.4,9,19,47.4,474,504,94.0,270,301,89.7,87,710,16,1,0,1,52,5,0,Matches
408,Mitchell Weiser\Mitchell-Weiser,de GER,DFMF,Bayer,5.9,0,0.2,-0.2,5,386,481,80.2,4,23,17.4,343,387,88.6,39,71,54.9,71,305,3,0,0,73,19,9,5,Matches
409,Wendell\Wendell,br BRA,DF,Bayer,12.7,2,1.1,+0.9,7,956,1124,85.1,4,30,13.3,789,869,90.8,163,225,72.4,859,89,19,2,0,129,53,2,0,Matches
410,Oscar Wendt\Oscar-Wendt,se SWE,DF,M'gladbach,9.9,0,1.0,-1.0,11,467,609,76.7,3,22,13.6,398,453,87.9,66,134,49.3,369,100,16,0,14,116,26,10,4,Matches
411,Timo Werner\Timo-Werner,de GER,FWMF,RB Leipzig,15.8,6,5.7,+0.3,28,398,545,73.0,12,40,30.0,338,424,79.7,48,81,59.3,79,420,2,4,0,12,26,31,6,Matches
412,Felix Wiedwald\Felix-Wiedwald,de GER,GK,Eint Frankfurt,3.0,0,0.0,0.0,0,70,103,68.0,0,0,,32,36,88.9,38,67,56.7,4,79,7,0,0,0,2,0,0,Matches
413,William\William,br BRA,DF,Wolfsburg,13.9,1,1.6,-0.6,16,580,812,71.4,14,41,34.1,434,535,81.1,132,236,55.9,73,506,5,1,5,190,59,11,5,Matches
414,Axel Witsel\Axel-Witsel,be BEL,MF,Dortmund,12.1,3,1.5,+1.5,10,809,864,93.6,12,23,52.2,666,690,96.5,131,151,86.8,62,770,25,0,0,6,76,7,1,Matches
415,Hannes Wolf\Hannes-Wolf,at AUT,MF,RB Leipzig,0.2,0,0.0,0.0,0,4,7,57.1,0,2,0.0,4,5,80.0,0,0,,5,2,0,0,0,0,0,0,0,Matches
416,Marius Wolf\Marius-Wolf,de GER,FW,Hertha BSC,10.3,2,1.5,+0.5,14,273,405,67.4,11,39,28.2,199,255,78.0,63,111,56.8,17,310,7,3,2,38,27,9,5,Matches
417,Dan-Axel Zagadou\Dan-Axel-Zagadou,fr FRA,DF,Dortmund,5.3,1,0.3,+0.7,4,328,360,91.1,1,2,50.0,243,258,94.2,84,100,84.0,277,59,6,0,0,1,20,0,0,Matches
418,Denis Zakaria\Denis-Zakaria,ch SUI,MF,M'gladbach,15.2,1,0.6,+0.4,6,517,604,85.6,15,24,62.5,391,438,89.3,111,142,78.2,13,564,18,1,0,2,47,9,0,Matches
419,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,14.0,0,0.1,-0.1,1,344,523,65.8,2,2,100.0,176,177,99.4,166,344,48.3,52,357,26,0,0,0,16,0,0,Matches
420,Jean Zimmer\Jean-Zimmer,de GER,DF,Düsseldorf,5.9,0,0.7,-0.7,9,118,177,66.7,2,6,33.3,86,119,72.3,30,52,57.7,17,129,10,0,11,25,11,4,0,Matches
421,Matthias Zimmermann\Matthias-Zimmermann,de GER,DFMF,Düsseldorf,17.0,0,0.3,-0.3,11,612,830,73.7,6,31,19.4,445,528,84.3,161,271,59.4,49,575,8,1,0,142,56,11,5,Matches
422,Leopold Zingerle\Leopold-Zingerle,de GER,GK,Paderborn 07,11.0,0,0.0,0.0,0,437,519,84.2,3,3,100.0,261,261,100.0,173,255,67.8,46,395,28,0,0,0,1,0,0,Matches
423,Joshua Zirkzee\Joshua-Zirkzee,nl NED,FW,Bayern Munich,0.1,0,0.0,0.0,0,4,5,80.0,0,1,0.0,4,4,100.0,0,0,,2,2,0,0,0,0,2,1,0,Matches
424,Ben Zolinski\Ben-Zolinski,de GER,DFMF,Paderborn 07,9.1,1,1.1,-0.1,10,193,261,73.9,6,17,35.3,153,194,78.9,34,50,68.0,39,194,0,1,0,3,20,4,1,Matches
425,Steven Zuber\Steven-Zuber,ch SUI,MF,Hoffenheim,1.0,0,0.2,-0.2,2,36,46,78.3,0,1,0.0,31,38,81.6,5,7,71.4,18,20,0,0,0,7,0,1,1,Matches
