Rk,Player,Nation,Pos,Squad,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
122,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Union Berlin,17.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
123,Daniel Ginczek\Daniel-Ginczek,de GER,FW,Wolfsburg,0.2,0,0,0,2,1,0,50.0,10.00,5.00,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1,Matches
124,Matthias Ginter\Matthias-Ginter,de GER,DFMF,M'gladbach,13.9,0,0,0,11,5,0,45.5,0.79,0.36,0.00,0.00,1.2,1.2,0.11,-1.2,-1.2,Matches
125,Klaus Gjasula\Klaus-Gjasula,al ALB,MF,Paderborn 07,14.6,1,0,1,6,2,0,33.3,0.41,0.14,0.17,0.50,1.5,0.7,0.12,-0.5,+0.3,Matches
126,Serge Gnabry\Serge-Gnabry,de GER,FWMF,Bayern Munich,12.8,6,0,0,54,23,0,42.6,4.23,1.80,0.11,0.26,6.7,6.7,0.12,-0.7,-0.7,Matches
127,Akaki Gogia\Akaki-Gogia,de GER,FWMF,Union Berlin,1.3,0,0,0,1,0,0,0.0,0.74,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
128,Benjamin Goller\Benjamin-Goller,de GER,MF,Werder Bremen,3.0,0,0,0,2,0,0,0.0,0.67,0.00,0.00,,0.2,0.2,0.08,-0.2,-0.2,Matches
129,Jérôme Gondorf\Jerome-Gondorf,de GER,MF,Freiburg,1.4,0,0,0,2,1,0,50.0,1.48,0.74,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
130,Leon Goretzka\Leon-Goretzka,de GER,MF,Bayern Munich,4.1,0,0,0,10,1,0,10.0,2.47,0.25,0.00,0.00,1.0,1.0,0.10,-1.0,-1.0,Matches
131,Mario Götze\Mario-Gotze,de GER,MF,Dortmund,5.4,3,1,1,7,3,0,42.9,1.29,0.55,0.29,0.67,1.6,0.8,0.12,+1.4,+1.2,Matches
132,Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,nl NED,DF,Augsburg,6.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
133,Michael Gregoritsch\Michael-Gregoritsch,at AUT,FW,Augsburg,3.4,0,0,0,4,0,1,0.0,1.19,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
134,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MF,Hoffenheim,0.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
135,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MF,Freiburg,5.2,2,1,1,21,6,3,28.6,4.00,1.14,0.05,0.17,1.6,0.8,0.04,+0.4,+0.2,Matches
136,Florian Grillitsch\Florian-Grillitsch,at AUT,MF,Hoffenheim,13.4,0,0,0,9,0,0,0.0,0.67,0.00,0.00,,0.5,0.5,0.05,-0.5,-0.5,Matches
137,Christian Groß\Christian-Gross,de GER,MF,Werder Bremen,8.0,0,0,0,3,0,0,0.0,0.37,0.00,0.00,,0.2,0.2,0.08,-0.2,-0.2,Matches
138,Carlos Gruezo\Carlos-Gruezo,ec ECU,MF,Augsburg,1.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
139,Marko Grujić\Marko-Grujic,rs SRB,MF,Hertha BSC,14.3,3,0,0,23,10,0,43.5,1.61,0.70,0.13,0.30,3.2,3.2,0.14,-0.2,-0.2,Matches
140,Raphaël Guerreiro\Raphael-Guerreiro,pt POR,DFMF,Dortmund,9.8,2,0,0,12,5,1,41.7,1.22,0.51,0.17,0.40,1.1,1.1,0.09,+0.9,+0.9,Matches
